dataset	family	fl_build_s	fl_build_rss	fl_run_s	fl_run_rss	fl_vpt	sfnp_build_s	sfnp_build_rss	sfnp_run_s	sfnp_run_rss	sfnp_vpt	sfpl_build_s	sfpl_build_rss	sfpl_run_s	sfpl_run_rss	sfpl_vpt	verdict
luindex	context-insensitive	225	7802	13	4237	5396536	139	2279	37	2882	5396536	151	2268	26	3331	5396536	COUNT_MATCH
xalan	context-insensitive	225	7802	16	3914	2387458	139	2279	31	2689	2387458	151	2268	25	2869	2387458	COUNT_MATCH
eclipse	context-insensitive	225	7802	17	5777	10539055	139	2279	66	4877	10539055	151	2268	40	5643	10539055	COUNT_MATCH
luindex	1-call-site-sensitive	248	9525	19	7000	17075710	142	2241	105	7722	17075710	153	2281	58	8708	17075710	COUNT_MATCH
xalan	1-call-site-sensitive	248	9525	20	5967	9499690	142	2241	77	5734	9499690	153	2281	46	6338	9499690	COUNT_MATCH
eclipse	1-call-site-sensitive	248	9525	36	14389	51467403	142	2241	306	21216	51467403	153	2281	150	23888	51467403	COUNT_MATCH
luindex	1-type-sensitive	254	9763	17	5201	9206109	150	2268	71	4504	9206109	155	2271	40	5359	9206109	COUNT_MATCH
xalan	1-type-sensitive	254	9763	18	4530	4489202	150	2268	43	3615	4489202	155	2271	33	4000	4489202	COUNT_MATCH
eclipse	1-type-sensitive	254	9763	28	8154	19852573	150	2268	272	8918	19852573	155	2271	79	10759	19852573	COUNT_MATCH
luindex	1-object-sensitive+heap	251	9796	45	8632	20036177	142	2274	176	9570	20036177	150	2281	100	11496	20036177	COUNT_MATCH
xalan	1-object-sensitive+heap	251	9796	27	6928	8688754	142	2274	71	5716	8688754	150	2281	53	6460	8688754	COUNT_MATCH
eclipse	1-object-sensitive+heap	251	9796	183	19802	62080248	142	2274	1115	27933	62080248	150	2281	418	34231	62080248	COUNT_MATCH
luindex	2-type-sensitive+heap	267	11218	16	4430	4859195	150	2213	44	2914	4859195	153	2270	29	3380	4859195	COUNT_MATCH
xalan	2-type-sensitive+heap	267	11218	18	4164	1866950	150	2213	34	2671	1866950	153	2270	28	2862	1866950	COUNT_MATCH
eclipse	2-type-sensitive+heap	267	11218	30	7982	16425925	150	2213	159	7885	16425925	153	2270	71	9552	16425925	COUNT_MATCH
luindex	2-object-sensitive+heap	263	11179	40	7983	8741742	140	2261	108	5560	8741742	150	2276	80	6477	8741742	COUNT_MATCH
xalan	2-object-sensitive+heap	263	11179	36	6964	4316079	140	2261	69	4426	4316079	150	2276	63	4927	4316079	COUNT_MATCH
eclipse	2-object-sensitive+heap	263	11179	103	19383	43929737	140	2261	587	21556	43929737	150	2276	253	26438	43929737	COUNT_MATCH
