dataset	family	fl_build_s	fl_build_rss	fl_run_s	fl_run_rss	fl_vpt	sfnp_build_s	sfnp_build_rss	sfnp_run_s	sfnp_run_rss	sfnp_vpt	sfpl_build_s	sfpl_build_rss	sfpl_run_s	sfpl_run_rss	sfpl_vpt	verdict
luindex	context-insensitive	209	7860	14	4295	5396536	141	2207	37	2885	5396536	153	2268	26	3331	5396536	COUNT_MATCH
luindex	1-type-sensitive	235	9658	17	5157	9206109	152	2267	71	4500	9206109	154	2273	40	5376	9206109	COUNT_MATCH
luindex	1-type-sensitive+heap	239	9975	28	6216	11736906	151	2269	87	5774	11736906	154	2272	59	6964	11736906	COUNT_MATCH
luindex	1-call-site-sensitive	234	9784	20	6997	17075710	142	2240	105	7756	17075710	152	2279	58	8728	17075710	COUNT_MATCH
luindex	1-call-site-sensitive+heap	236	9981	20	7031	17573686	142	2277	107	8005	17573686	153	2287	60	8986	17573686	COUNT_MATCH
luindex	1-object-sensitive	233	9688	25	7062	15093978	140	2245	165	7241	15093978	153	2281	66	8571	15093978	COUNT_MATCH
luindex	1-object-sensitive+heap	236	9959	45	8728	20036177	142	2243	175	9632	20036177	152	2283	100	11527	20036177	COUNT_MATCH
luindex	1-object-1-type-sensitive+heap	252	11180	33	7557	8719851	151	2214	99	5313	8719851	153	2265	68	6184	8719851	COUNT_MATCH
luindex	2-type-sensitive+heap	250	11467	16	4432	4859195	151	2212	44	2921	4859195	154	2270	30	3385	4859195	COUNT_MATCH
luindex	2-object-sensitive+heap	248	11054	40	7941	8741742	142	2260	108	5555	8741742	151	2276	81	6476	8741742	COUNT_MATCH
