dataset	family	fl_build_s	fl_build_rss	fl_run_s	fl_run_rss	fl_vpt	sfnp_build_s	sfnp_build_rss	sfnp_run_s	sfnp_run_rss	sfnp_vpt	sfpl_build_s	sfpl_build_rss	sfpl_run_s	sfpl_run_rss	sfpl_vpt	verdict
luindex	context-insensitive	204	7008	13	4269	5396536	145	2279	37	2882	5396536	152	2267	26	3336	5396536	COUNT_MATCH
eclipse	context-insensitive	204	7008	17	5880	10539055	145	2279	67	4879	10539055	152	2267	41	5649	10539055	COUNT_MATCH
batik	context-insensitive	204	7008	37	10811	28249074	145	2279	244	12991	28249074	152	2267	114	14874	28249074	COUNT_MATCH
h2o	context-insensitive	204	7008	88	24356	8348153	145	2279	206	29545	8348153	152	2267	185	30208	8348153	COUNT_MATCH
xalan	context-insensitive	204	7008	17	3896	2387458	145	2279	31	2690	2387458	152	2267	25	2871	2387458	COUNT_MATCH
spring	context-insensitive	204	7008	32	10869	27878606	145	2279	213	12563	27878606	152	2267	102	15165	27878606	COUNT_MATCH
luindex	1-type-sensitive	243	9261	17	5184	9206109	153	2267	73	4509	9206109	154	2273	41	5376	9206109	COUNT_MATCH
eclipse	1-type-sensitive	243	9261	28	8168	19852573	153	2267	277	8915	19852573	154	2273	81	10774	19852573	COUNT_MATCH
batik	1-type-sensitive	243	9261	105	31730	111708068	153	2267	1299	48869	111708068	154	2273	433	56553	111708068	COUNT_MATCH
h2o	1-type-sensitive	243	9261	95	24237	17063830	153	2267	280	33100	17063830	154	2273	209	34836	17063830	COUNT_MATCH
xalan	1-type-sensitive	243	9261	18	4518	4489202	153	2267	43	3618	4489202	154	2273	33	4009	4489202	COUNT_MATCH
spring	1-type-sensitive	243	9261	67	19271	64774266	153	2267	1048	27224	64774266	154	2273	245	33447	64774266	COUNT_MATCH
luindex	1-type-sensitive+heap	239	9753	28	6267	11736906	151	2268	86	5778	11736906	151	2274	59	6963	11736906	COUNT_MATCH
eclipse	1-type-sensitive+heap	239	9753	66	11108	30087958	151	2268	378	13633	30087958	151	2274	156	16647	30087958	COUNT_MATCH
batik	1-type-sensitive+heap	239	9753	240	39333	133591421	151	2268	1638	58586	133591421	151	2274	663	69461	133591421	COUNT_MATCH
h2o	1-type-sensitive+heap	239	9753	120	24494	22055530	151	2268	320	35594	22055530	151	2274	254	38027	22055530	COUNT_MATCH
xalan	1-type-sensitive+heap	239	9753	22	4993	5355043	151	2268	49	4135	5355043	151	2274	40	4640	5355043	COUNT_MATCH
spring	1-type-sensitive+heap	239	9753	154	23722	77597754	151	2268	1040	34056	77597754	151	2274	405	42370	77597754	COUNT_MATCH
luindex	1-call-site-sensitive	233	9319	19	6984	17075710	141	2242	105	7759	17075710	152	2280	59	8736	17075710	COUNT_MATCH
eclipse	1-call-site-sensitive	233	9319	36	14335	51467403	141	2242	311	21137	51467403	152	2280	151	23979	51467403	COUNT_MATCH
batik	1-call-site-sensitive	233	9319	89	35050	147130198	141	2242	1075	59889	147130198	152	2280	471	67266	147130198	COUNT_MATCH
h2o	1-call-site-sensitive	233	9319	105	28665	43111749	141	2242	375	42759	43111749	152	2280	273	44728	43111749	COUNT_MATCH
xalan	1-call-site-sensitive	233	9319	21	6013	9499690	141	2242	79	5737	9499690	152	2280	47	6371	9499690	COUNT_MATCH
spring	1-call-site-sensitive	233	9319	91	38435	160376993	141	2242	1254	62488	160376993	152	2280	475	71518	160376993	COUNT_MATCH
luindex	1-call-site-sensitive+heap	237	9655	20	7048	17573686	143	2243	107	7975	17573686	164	2286	61	9020	17573686	COUNT_MATCH
eclipse	1-call-site-sensitive+heap	237	9655	44	17469	68151180	143	2243	395	27318	68151180	164	2286	200	31166	68151180	COUNT_MATCH
batik	1-call-site-sensitive+heap	237	9655	121	51006	223455772	143	2243	1569	89061	223455772	164	2286	692	99820	223455772	COUNT_MATCH
h2o	1-call-site-sensitive+heap	237	9655	111	31024	62617880	143	2243	439	50180	62617880	164	2286	308	52950	62617880	COUNT_MATCH
xalan	1-call-site-sensitive+heap	237	9655	20	6184	9802668	143	2243	80	5890	9802668	164	2286	48	6493	9802668	COUNT_MATCH
spring	1-call-site-sensitive+heap	237	9655	93	38724	169388627	143	2243	1260	66101	169388627	164	2286	488	75817	169388627	COUNT_MATCH
