family	fl_compile_s	fl_run_s	fl_maxRSS_GB	sf_compile_s	sf_run_s	sf_maxRSS_GB	fl_vpt	sf_vpt	verdict
1-call-site-sensitive+heap	426.12	24.48	6.98	143.34	124.06	7.80	17573686	17573686	MATCH
1-call-site-sensitive	424.15	23.4	6.96	141.26	120.76	7.60	17075710	17075710	MATCH
1-object-1-type-sensitive+heap	935.45	36.77	7.20	145.12	108.15	5.19	8719851	8719851	MATCH
1-object-sensitive+heap	433	52.52	8.27	145.28	201.3	9.39	20036177	20036177	MATCH
1-object-sensitive	404.41	28.28	6.87	141.4	179.7	7.05	15093978	15093978	MATCH
1-type-sensitive+heap	443.09	30.42	5.99	141.82	96.8	5.65	11736906	11736906	MATCH
1-type-sensitive	688.79	18.75	5.13	147.63	77.02	4.40	9206109	9206109	MATCH
2-object-sensitive+2-heap	664.94	111.21	10.51	144.89	185.53	6.71	11281640	11281640	MATCH
2-object-sensitive+heap	1362.97	43.26	7.72	145.31	118.91	5.42	8741742	8741742	MATCH
2-type-object-sensitive+2-heap	694.36	73.56	10.28	144.87	137.83	5.83	9788238	9788238	MATCH
2-type-object-sensitive+heap	1317.3	36.37	7.29	146.48	108.69	5.09	8719851	8719851	MATCH
2-type-sensitive+heap	1315.44	16.97	4.31	146.65	48.74	2.84	4859195	4859195	MATCH
3-object-sensitive+2-heap	1072.17	16.15	5.11	138.99	56.39	2.67	3411656	3411656	MATCH
3-object-sensitive+3-heap	675	16.29	5.28	141.62	57.07	2.66	3417156	3417156	MATCH
3-type-sensitive+2-heap	1309.58	12.83	3.52	145.47	27.29	1.46	1483057	1483057	MATCH
3-type-sensitive+3-heap	690.14	12.68	3.63	145.27	27.05	1.47	1484975	1484975	MATCH
4-object-sensitive+4-heap	695.5	16.12	5.69	141.88	55.79	2.57	3212708	3212708	MATCH
adaptive-2-object-sensitive+heap	992.3	42.75	7.63	140.48	118.45	5.43	8741742	8741742	MATCH
context-insensitive	274.87	14.23	4.24	141.99	39.97	2.82	5396536	5396536	MATCH
