family	verdict	VarPointsTo	flowlog_run_w32_s	souffle_run_j32_s	speedup_sf_over_fl	fl_maxRSS_GB	sf_maxRSS_GB
3-type-sensitive+3-heap	MATCH	1484975	12.68	27.05	2.13	3.63	1.47
3-type-sensitive+2-heap	MATCH	1483057	12.83	27.29	2.13	3.52	1.46
context-insensitive	MATCH	5396536	14.23	39.97	2.81	4.24	2.82
4-object-sensitive+4-heap	MATCH	3212708	16.12	55.79	3.46	5.69	2.57
3-object-sensitive+2-heap	MATCH	3411656	16.15	56.39	3.49	5.11	2.67
3-object-sensitive+3-heap	MATCH	3417156	16.29	57.07	3.50	5.28	2.66
2-type-sensitive+heap	MATCH	4859195	16.97	48.74	2.87	4.31	2.84
1-type-sensitive	MATCH	9206109	18.75	77.02	4.11	5.13	4.40
1-call-site-sensitive	MATCH	17075710	23.4	120.76	5.16	6.96	7.60
1-call-site-sensitive+heap	MATCH	17573686	24.48	124.06	5.07	6.98	7.80
1-object-sensitive	MATCH	15093978	28.28	179.7	6.35	6.87	7.05
1-type-sensitive+heap	MATCH	11736906	30.42	96.8	3.18	5.99	5.65
2-type-object-sensitive+heap	MATCH	8719851	36.37	108.69	2.99	7.29	5.09
1-object-1-type-sensitive+heap	MATCH	8719851	36.77	108.15	2.94	7.20	5.19
adaptive-2-object-sensitive+heap	MATCH	8741742	42.75	118.45	2.77	7.63	5.43
2-object-sensitive+heap	MATCH	8741742	43.26	118.91	2.75	7.72	5.42
1-object-sensitive+heap	MATCH	20036177	52.52	201.3	3.83	8.27	9.39
2-type-object-sensitive+2-heap	MATCH	9788238	73.56	137.83	1.87	10.28	5.83
2-object-sensitive+2-heap	MATCH	11281640	111.21	185.53	1.67	10.51	6.71
