family	fl_build	fl_run	fl_vpt	sf_build	sf_run	sf_vpt	only_fl	only_sf	both	verdict
context-insensitive	0	0	5396536	1	0	5396536	0	0	5396536	MATCH
types-only	0	0	3763148	1	0	3755159	34695	26706	3728453	DIFF
1-type-sensitive	0	0	9206109	1	0	9206109	0	0	9206109	MATCH
1-type-sensitive+heap	0	0	11736906	1	0	11736906	0	0	11736906	MATCH
1-call-site-sensitive	0	0	17075710	1	0	17075710	0	0	17075710	MATCH
1-call-site-sensitive+heap	0	0	17573686	1	0	17573686	0	0	17573686	MATCH
1-object-sensitive	0	0	15093978	1	0	15093978	0	0	15093978	MATCH
1-object-sensitive+heap	0	0	20036177	1	0	20036177	0	0	20036177	MATCH
1-object-1-type-sensitive+heap	124	NA	NA	1	0	8719851	NA	NA	NA	INCOMPLETE
2-type-sensitive+heap	124	NA	NA	1	0	4859195	NA	NA	NA	INCOMPLETE
2-type-object-sensitive+heap	124	NA	NA	1	0	8719851	NA	NA	NA	INCOMPLETE
2-type-object-sensitive+2-heap	0	0	9788238	1	0	9788238	0	0	9788238	MATCH
2-call-site-sensitive+heap	124	NA	NA	1	137	NA	NA	NA	NA	INCOMPLETE
2-call-site-sensitive+2-heap	0	137	NA	1	137	NA	NA	NA	NA	INCOMPLETE
sticky-2-object-sensitive	124	NA	NA	1	124	NA	NA	NA	NA	INCOMPLETE
selective-2-object-sensitive+heap	124	NA	NA	1	124	NA	NA	NA	NA	INCOMPLETE
partitioned-2-object-sensitive+heap	0	0	8730757	1	1	NA	NA	NA	NA	INCOMPLETE
adaptive-2-object-sensitive+heap	124	NA	NA	1	0	8741742	NA	NA	NA	INCOMPLETE
2-object-sensitive+heap	124	NA	NA	1	0	8741742	NA	NA	NA	INCOMPLETE
2-object-sensitive+2-heap	0	0	11281640	1	0	11281640	0	0	11281640	MATCH
3-type-sensitive+2-heap	124	NA	NA	1	0	1483057	NA	NA	NA	INCOMPLETE
3-type-sensitive+3-heap	0	0	1484975	1	0	1484975	0	0	1484975	MATCH
3-object-sensitive+2-heap	124	NA	NA	1	0	3411656	NA	NA	NA	INCOMPLETE
3-object-sensitive+3-heap	0	0	3417156	1	0	3417156	0	0	3417156	MATCH
4-object-sensitive+4-heap	0	0	3212708	1	0	3212708	0	0	3212708	MATCH
