dataset	family	FL_w32_r1	FL_w32_r2	FLw1	SF_j32	det	cross_engine	only_FL	only_SF
cassandra	1-call-site-sensitive	9997778	9997778	9997778	9997778	DET	DIFF	12226	12226
cassandra	1-object-sensitive	7571545	7571545	7571545	7571545	DET	DIFF	12062	12062
cassandra	1-type-sensitive	4627255	4627255	4627255	4629551	DET	DIFF	6324	8620
cassandra	context-insensitive	2545822	2545822	2545822	2545822	DET	DIFF	2341	2341
xalan	1-call-site-sensitive	9499690	9499690	9499690	9499690	DET	BYTE-EXACT	0	0
xalan	1-object-sensitive	7296567	7296567	7296567	7296567	DET	BYTE-EXACT	0	0
xalan	1-type-sensitive	4489202	4489202	4489202	4489202	DET	BYTE-EXACT	0	0
xalan	context-insensitive	2387458	2387458	2387458	2387458	DET	BYTE-EXACT	0	0
avrora	1-call-site-sensitive	10434671	10434671	skip	10434671	DET	BYTE-EXACT	0	0
avrora	1-object-sensitive	8331800	8331800	skip	8331800	DET	BYTE-EXACT	0	0
avrora	1-type-sensitive	4943181	4943181	skip	4943181	DET	BYTE-EXACT	0	0
avrora	context-insensitive	2528797	2528797	skip	2528797	DET	BYTE-EXACT	0	0
zxing	1-call-site-sensitive	15432961	15432961	skip	15432961	DET	BYTE-EXACT	0	0
zxing	1-object-sensitive	12508051	12508051	skip	12508051	DET	BYTE-EXACT	0	0
zxing	1-type-sensitive	7462171	7462171	skip	7462171	DET	BYTE-EXACT	0	0
zxing	context-insensitive	4144794	4144794	skip	4144794	DET	BYTE-EXACT	0	0
sunflow	1-call-site-sensitive	25642734	25642734	skip	25642734	DET	BYTE-EXACT	0	0
sunflow	1-object-sensitive	22307898	22307898	skip	22307898	DET	BYTE-EXACT	0	0
sunflow	1-type-sensitive	12656502	12656502	skip	12656502	DET	BYTE-EXACT	0	0
sunflow	context-insensitive	6140841	6140841	skip	6140841	DET	BYTE-EXACT	0	0
