family	VPT_rows	FL_wall_s	FL_RSS_GB	SF_wall_s	SF_RSS_GB	SFxFL_speedup	FLoverSF_mem	correct	only_FL	only_SF
context-insensitive	2545822	16.21	3.45	23.47	1.60	1.45	2.16	DIFF	2341	2341
1-type-sensitive	4627255	17.75	4.05	36.3	2.52	2.05	1.61	DIFF(rowdiff)	6324	8620
1-type-sensitive+heap	5541385	21.99	5.01	45.4	3.04	2.06	1.65	DIFF(rowdiff)	5573	8312
1-call-site-sensitive	9997778	21.38	5.86	73.06	4.79	3.42	1.22	DIFF	12226	12226
1-call-site-sensitive+heap	10349878	21.63	6.00	77.17	4.94	3.57	1.21	DIFF	11759	11759
1-object-sensitive	7571545	21.41	5.04	61.88	3.86	2.89	1.31	DIFF	12062	12062
1-object-sensitive+heap	8959545	29.56	6.45	70.11	4.63	2.37	1.39	DIFF	10789	10789
1-object-1-type-sensitive+heap	4213679	302.84	5.69	59.13	2.97	0.20	1.92	DIFF(rowdiff)	3114	3217
2-type-sensitive+heap	1998325	17.68	3.60	27.32	1.59	1.55	2.26	DIFF(rowdiff)	2269	3251
2-type-object-sensitive+heap	4213679	303.15	5.97	61.75	3.07	0.20	1.94	DIFF(rowdiff)	3114	3217
2-type-object-sensitive+2-heap	6178573	380.55	8.85	87.37	3.98	0.23	2.22	DIFF(rowdiff)	3114	3217
2-object-sensitive+heap	4542077	43.55	6.60	68.19	3.42	1.57	1.93	DIFF	3394	3394
2-object-sensitive+2-heap	7658232	106.41	9.83	121.42	4.89	1.14	2.01	DIFF	3394	3394
adaptive-2-object-sensitive+heap	4542077	44.04	6.91	66.53	3.41	1.51	2.03	DIFF	3394	3394
3-type-sensitive+2-heap	1070911	16	3.31	19.03	1.15	1.19	2.88	DIFF(rowdiff)	2122	2808
3-type-sensitive+3-heap	1075289	14.85	3.43	19.51	1.15	1.31	2.98	DIFF(rowdiff)	2122	2808
3-object-sensitive+2-heap	2219356	17.56	4.25	33.61	1.87	1.91	2.27	DIFF	3378	3378
3-object-sensitive+3-heap	2229802	17.36	4.35	36.83	1.87	2.12	2.33	DIFF	3378	3378
4-object-sensitive+4-heap	2230745	17.1	4.76	34.9	1.88	2.04	2.53	DIFF	3513	3513
