family	VPT_rows	FL_wall_s	FL_RSS_GB	SF_wall_s	SF_RSS_GB	SFxFL_speedup	FLoverSF_mem	correct	only_FL	only_SF
context-insensitive	5627641	20.47	4.53	40.08	2.90	1.96	1.56	MATCH	0	0
1-type-sensitive	10259228	25.6	5.95	76.8	4.80	3.00	1.24	MATCH	0	0
1-type-sensitive+heap	12118884	34.74	6.34	97.37	5.76	2.80	1.10	MATCH	0	0
1-call-site-sensitive	19922179	30.52	8.21	130.09	8.66	4.26	0.95	MATCH	0	0
1-call-site-sensitive+heap	20374194	30.89	8.20	151.33	8.81	4.90	0.93	MATCH	0	0
1-object-sensitive	15867995	32.89	7.53	153.62	7.33	4.67	1.03	MATCH	0	0
1-object-sensitive+heap	18099277	47.53	8.90	155.37	8.55	3.27	1.04	MATCH	0	0
1-object-1-type-sensitive+heap	7144057	581.25	6.89	98.73	4.47	0.17	1.54	MATCH	0	0
2-type-sensitive+heap	3686153	21.95	4.21	47.2	2.38	2.15	1.77	MATCH	0	0
2-type-object-sensitive+heap	7144057	582.44	6.67	93.29	4.44	0.16	1.50	MATCH	0	0
2-type-object-sensitive+2-heap	8998719	670.36	9.23	126.33	5.39	0.19	1.71	MATCH	0	0
2-object-sensitive+heap	7480034	48.86	7.74	105.27	4.80	2.15	1.61	MATCH	0	0
2-object-sensitive+2-heap	10594272	110.45	10.69	164.17	6.36	1.49	1.68	MATCH	0	0
adaptive-2-object-sensitive+heap	7480034	48.42	7.53	107.63	4.86	2.22	1.55	MATCH	0	0
3-type-sensitive+2-heap	1474836	18.24	3.83	26.55	1.47	1.46	2.61	MATCH	0	0
3-type-sensitive+3-heap	1476195	17.62	3.95	26.78	1.47	1.52	2.69	MATCH	0	0
3-object-sensitive+2-heap	3245177	21.63	5.20	51.85	2.59	2.40	2.01	MATCH	0	0
3-object-sensitive+3-heap	3249095	21.21	5.41	52.38	2.59	2.47	2.09	MATCH	0	0
4-object-sensitive+4-heap	3073527	21.53	5.84	51.83	2.51	2.41	2.33	MATCH	0	0
