family	VPT_rows	FL_wall_s	FL_RSS_GB	SF_wall_s	SF_RSS_GB	SFxFL_speedup	FLoverSF_mem	correct	only_FL	only_SF
context-insensitive	3066514	16.38	3.63	25.61	1.80	1.56	2.02	MATCH	0	0
1-type-sensitive	6082725	19.56	4.64	45.38	3.10	2.32	1.50	MATCH	0	0
1-type-sensitive+heap	7201114	28.91	5.73	54.52	3.75	1.89	1.53	MATCH	0	0
1-call-site-sensitive	12633162	23.6	6.32	84.9	5.82	3.60	1.09	MATCH	0	0
1-call-site-sensitive+heap	12958365	23.65	6.35	88.6	5.96	3.75	1.07	MATCH	0	0
1-object-sensitive	9761584	27.45	5.64	75.12	4.74	2.74	1.19	MATCH	0	0
1-object-sensitive+heap	11576284	35.54	7.15	86.58	5.74	2.44	1.25	MATCH	0	0
1-object-1-type-sensitive+heap	4808401	337	5.75	62.92	3.31	0.19	1.74	MATCH	0	0
2-type-sensitive+heap	2518837	18.15	3.76	31.76	1.80	1.75	2.09	MATCH	0	0
2-type-object-sensitive+heap	4808401	346.91	5.77	62.13	3.30	0.18	1.75	MATCH	0	0
2-type-object-sensitive+2-heap	6546303	422.99	8.64	85.35	4.14	0.20	2.09	MATCH	0	0
2-object-sensitive+heap	5150678	40.2	7.00	72.1	3.64	1.79	1.92	MATCH	0	0
2-object-sensitive+2-heap	7969436	95.27	9.83	114.42	4.99	1.20	1.97	MATCH	0	0
adaptive-2-object-sensitive+heap	5150678	40.18	6.97	72.55	3.64	1.81	1.91	MATCH	0	0
3-type-sensitive+2-heap	1430615	17.64	3.56	25.89	1.31	1.47	2.72	MATCH	0	0
3-type-sensitive+3-heap	1430865	16.53	3.74	26.26	1.31	1.59	2.85	MATCH	0	0
3-object-sensitive+2-heap	2662140	19.12	4.33	41.88	2.08	2.19	2.08	MATCH	0	0
3-object-sensitive+3-heap	2662599	18	4.55	42.13	2.09	2.34	2.18	MATCH	0	0
4-object-sensitive+4-heap	2595367	18.24	4.90	45.23	2.06	2.48	2.38	MATCH	0	0
