family	VPT_rows	FL_wall_s	FL_RSS_GB	SF_wall_s	SF_RSS_GB	SFxFL_speedup	FLoverSF_mem	correct	only_FL	only_SF
context-insensitive	10539055	23.87	6.06	74.85	4.77	3.14	1.27	MATCH	0	0
1-type-sensitive	19852573	39.47	8.15	290.37	8.71	7.36	0.94	MATCH	0	0
1-type-sensitive+heap	30087958	82.84	11.01	417.03	13.30	5.03	0.83	MATCH	0	0
1-call-site-sensitive	51467403	52.67	14.32	392.93	20.63	7.46	0.69	MATCH	0	0
1-call-site-sensitive+heap	68151180	83.22	17.36	558.28	26.93	6.71	0.64	MATCH	0	0
1-object-sensitive	34206597	75.71	12.13	944.49	15.07	12.48	0.80	MATCH	0	0
1-object-sensitive+heap	62080248	257.76	19.74	1310.3	27.20	5.08	0.73	MATCH	0	0
1-object-1-type-sensitive+heap	35244021	2303.16	15.30	538.75	16.73	0.23	0.91	MATCH	0	0
2-type-sensitive+heap	16425925	41.6	8.07	180.81	7.70	4.35	1.05	MATCH	0	0
2-type-object-sensitive+heap	35244021	2335.18	15.31	531.73	16.63	0.23	0.92	MATCH	0	0
2-type-object-sensitive+2-heap	42127383	2957.44	20.73	668.65	19.73	0.23	1.05	MATCH	0	0
2-object-sensitive+heap	43929737	161.97	19.04	729.48	21.17	4.50	0.90	MATCH	0	0
2-object-sensitive+2-heap	69602292	409.29	28.62	1243.12	32.15	3.04	0.89	MATCH	0	0
adaptive-2-object-sensitive+heap	43929737	157.27	19.25	729.88	21.25	4.64	0.91	MATCH	0	0
3-type-sensitive+2-heap	4443710	22.13	5.15	61.89	2.80	2.80	1.84	MATCH	0	0
3-type-sensitive+3-heap	4598065	21.97	5.43	64.52	2.87	2.94	1.89	MATCH	0	0
3-object-sensitive+2-heap	7352446	28.6	7.25	116.74	4.72	4.08	1.54	MATCH	0	0
3-object-sensitive+3-heap	8127441	29.96	7.94	124.1	5.07	4.14	1.57	MATCH	0	0
4-object-sensitive+4-heap	7486106	30.74	8.95	124.22	4.83	4.04	1.85	MATCH	0	0
