family	VPT_rows	FL_wall_s	FL_RSS_GB	SF_wall_s	SF_RSS_GB	SFxFL_speedup	FLoverSF_mem	correct	only_FL	only_SF
context-insensitive	5396536	20.19	4.49	40.89	2.82	2.03	1.59	MATCH	0	0
1-type-sensitive	9206109	25.44	5.34	77.59	4.40	3.05	1.21	MATCH	0	0
1-type-sensitive+heap	11736906	37.53	6.29	94.94	5.65	2.53	1.11	MATCH	0	0
1-call-site-sensitive	17075710	28.39	7.23	117.03	7.61	4.12	0.95	MATCH	0	0
1-call-site-sensitive+heap	17573686	30.7	7.30	125.74	7.82	4.10	0.93	MATCH	0	0
1-object-sensitive	15093978	35.22	7.16	177.57	7.09	5.04	1.01	MATCH	0	0
1-object-sensitive+heap	20036177	66	8.53	208.21	9.40	3.15	0.91	MATCH	0	0
1-object-1-type-sensitive+heap	8719851	665.45	7.55	109.22	5.18	0.16	1.46	MATCH	0	0
2-type-sensitive+heap	4859195	24.25	4.55	50.3	2.85	2.07	1.60	MATCH	0	0
2-type-object-sensitive+heap	8719851	633.17	7.55	110.49	5.18	0.17	1.46	MATCH	0	0
2-type-object-sensitive+2-heap	9788238	700.68	10.67	139.88	5.80	0.20	1.84	MATCH	0	0
2-object-sensitive+heap	8741742	55.36	7.92	116.56	5.44	2.11	1.46	MATCH	0	0
2-object-sensitive+2-heap	11281640	131.39	11.76	190.27	6.73	1.45	1.75	MATCH	0	0
adaptive-2-object-sensitive+heap	8741742	55.58	8.04	116.65	5.44	2.10	1.48	MATCH	0	0
3-type-sensitive+2-heap	1483057	19.38	3.81	26.26	1.47	1.36	2.59	MATCH	0	0
3-type-sensitive+3-heap	1484975	17.87	3.97	26.93	1.46	1.51	2.72	MATCH	0	0
3-object-sensitive+2-heap	3411656	21.58	5.40	57.18	2.67	2.65	2.02	MATCH	0	0
3-object-sensitive+3-heap	3417156	21.33	5.55	58.88	2.67	2.76	2.08	MATCH	0	0
4-object-sensitive+4-heap	3212708	20.98	5.92	56.76	2.57	2.71	2.30	MATCH	0	0
