family	verdict	VarPointsTo	flowlog_run_w1	souffle_run_j1	fl_maxRSS_GB	sf_maxRSS_GB
context-insensitive	MATCH	5396536	0:53.48	2:27.89	2	2
1-type-sensitive	MATCH	9206109	1:32.49	7:42.68	2	4
1-type-sensitive+heap	MATCH	11736906	3:27.78	9:39.31	3	5
1-call-site-sensitive	MATCH	17075710	1:49.23	8:47.71	4	7
1-call-site-sensitive+heap	MATCH	17573686	1:52.75	8:48.88	4	7
1-object-sensitive	MATCH	15093978	2:53.46	30:26.51	4	6
1-object-sensitive+heap	MATCH	20036177	6:41.16	29:09.66	5	9
2-type-object-sensitive+2-heap	MATCH	9788238	19:49.12	19:45.88	5	5
2-object-sensitive+2-heap	MATCH	11281640	17:41.65	31:08.45	6	6
3-type-sensitive+3-heap	MATCH	1484975	0:36.65	1:39.84	2	1
3-object-sensitive+3-heap	MATCH	3417156	1:02.08	3:51.09	3	2
4-object-sensitive+4-heap	MATCH	3212708	1:05.98	3:45.75	3	2
1-object-1-type-sensitive+heap	MATCH	8719851	12:54.50	12:29.00	4	5
2-type-sensitive+heap	MATCH	4859195	1:13.07	3:46.22	2	2
2-type-object-sensitive+heap	MATCH	8719851	12:53.13	12:28.32	4	5
2-object-sensitive+heap	MATCH	8741742	5:42.23	15:05.06	5	5
adaptive-2-object-sensitive+heap	MATCH	8741742	5:38.62	15:06.67	5	5
3-type-sensitive+2-heap	MATCH	1483057	0:35.60	1:36.80	1	1
3-object-sensitive+2-heap	MATCH	3411656	1:03.82	3:57.72	3	2
